,id,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
7674,14687ee2dc4bbfb7,"""

 My Statement 

Oh wow, I take a little drive and come back to a nuclear war zone? I guess I can take on each point...

 The fact that MF was not blocked for the same behavior is rather odd (also... if you ask a question after telling me to stop replying... what do you really expect?).
 I agree that Tan needed to be blocked and I agree with the desysopping. 
 To say that I have no right to be angry is a foolhardy notion. I was told multiple times to fuck off (btw, when told to fuck off, I am considerably less likely to comply).
 . They both hail from the infamous Tiscali network. That being said, rpeh has no reason to be involved in this discussion (he has a personal issue with me ever since he was desysopped on another wiki; he hasn't gotten over it). I intend to request a checkuser and request a block for sockpuppetry.
 User:Georgewilliamherbert places too much weight on unofficial warnings. A vandal can be warned four times but a user once? Hmmmm...
 Prodego has no reason to be desysopped. He had every right to block for a violation of WP:NPA tens of times. 
– (talk) """,0,0,1,0,0,0
8257,15f36a0277e7fd42,"""OlYeller petulantly wrote: """"this isn't taking the conversation anywhere.""""  That's another false statement.  This conversation has corrected your false statement that there were zero indications that it was an annual event and your false statement that """"Your argument that there's a second event simply isn't true.""""  I know you don't like to be corrected.  Hey, maybe you should do another immature and emotion-based attempt to ban me, like you did a few days ago, only to realize later (after you had calmed down) that you had no basis for doing so.  Executive Summary:  Grow up, dick.  

""",0,0,1,0,0,0
8486,1689f34028702242,"""

 Love Hina part:3 

Damm you and your auto archiving!:p

Damm vandal struck again so I've left a message for Sephiroth Bcr rather then leave a message on the general board. They even removed my reference this time *angry*. Anyway, haven't done the characters yet, but what do you think of the media additions? I've only done the major works so far, there is still loads missing (color version of the manga, anime """"manga"""", characters cd's etc)   """,0,0,1,0,0,0
9545,194f1370541dcdb9,"Don't worry, tha fag Klptyzm will be blocked sooner or later.",0,0,1,0,0,0
10112,1abcdd3b4de39ae2,"""

It's a profound problem when administrators who are full of shit are allowed to even edit. The incompetence here is rather astounding. Thanks for proving my point yet again. Do you really expect me to be happy when an administrator (who has an agenda against me) blocks me? Think again. Fourth member added. – (talk) """,0,0,1,0,0,0
12061,1ff4315c2cf9dd87,"""

 Response 

I can read Japanese, as well as about 7-8 other languages, if you are interested. But no, I did not """"post"""" that reference, and please don't write in a language I assume you cannot write in. In fact, please don't live in a world I assume you should not live in.

No article is prohibited as a use for reference. Use of reference has nothing to do with copyrights. Study your books.

If sales information are unencyclopedic, I guess we should delete the List of best-selling music artists instead of discussing about it, right? We won't see them on the Japanese Wikipedia because the Japanese Wikipedia, frankly, sucks.

Take care. |heru|nar """,0,0,1,0,0,0
12954,2250ebe3581ef161,"""Kurt and Dave get it on?==

Groaning Kurt released his cock. For the past week he hadn't been able to get off. He tried a cocktail of drugs and a cocktail of whores. Nothing was doing it for him. Masturbating in the shower wasn't even working. Oh he was getting hard all right, he just couldn't fucking cum. And it was driving him nuts.

To top it off, he didn't know why he couldn't cum. The girls had been either hot enough or slutty enough. Even the couple of guys he brought home had been decent. Despite that, he couldn't fucking cum. And a week of that was enough to make anyone more pissy than normal.

Which meant band practice was unlikely to be much fun for anyone.

That was made abundantly clear the moment Kurt stepped into the rehearsal studio. His eyes flicked from Krist to Dave and he came to a sudden stop. Dave was sitting on a couch, a pretty girl in his lap giggling. It was like he was taunting Kurt. And he would have nothing of that.

Stalking over to the drummer and the floozie, Kurt pulled her forcibly out of his lap. The girl squealed and Dave growled, but Kurt paid no attention, forcing the girl out of the studio. After slamming the door he headed back over to Dave. Without a word he pulled the drummer to him and kissed him possessively.

Dave shoved Kurt away, """"What part of no don't you fucking understand!?""""

Krist's eyes widened and he took a step forward, """"Guys, I think—""""

Kurt sent him a silent glare, silencing and stopping him.

""""I don't want you, Kurt. I don't even fucking like you right now,"""" Dave growled. """"In fact, I fucking quit! I don't have to put up with this shit. You're fucking insane. You need some other crackwhore to take my place. I'm not it.""""

Sidestepping the singer, Dave headed towards the door. He barely made three steps before Kurt grabbed him again. This time his back was pulled to Kurt's front. He could clearly feel the singer's erection pressing into his ass.

He wasn't going to be anyone's bitch.

""""I'm just gonna... go,"""" Krist muttered before slipping out of the room quickly.

""""You're fucking mine, Dave,"""" Kurt declared, licking Dave's neck. """"Always.""""

For as small as he was, Kurt had more strength than Dave expected. With considerably less effort than he would have figured, the singer forced the drummer down to the floor. Dave wiggled and tried to crawl away, but all that resulted was in Kurt pulling the drummer's pants off.

Laying down on top of Dave while he worked his own pants off, Kurt hissed in his ear, """"You're mine. You hear me? Fucking mine.""""

""""Stop! Kurt, stop!"""" Dave struggled.

With Kurt's weight on him, the drummer had very little maneuverability. He was completely trapped. But that didn't mean he stopped trying to get away. While wholly his struggling was probably a good thing, it wasn't really helping. If anything it was turning Kurt on more.

Not having the patience to remove Dave's boxers, Kurt reached down and tore the back seam, exposing the drummer's ass. He didn't even pause to warn Dave. His hands spread Dave's cheeks, spit down his crack to provide some lubrication, and quickly pushed his cock in. Dave screamed, wiggling once more to get away. With Kurt's hands holding onto his hips, he had no chance to go anywhere, at least not until the singer was done.

Dave's screams faded into sobs. That alone drove Kurt further, faster. He loved everything about it. The way Dave's ass squeezed his cock better than anyone else's had before. He was a perfect glove, a perfect fit. Before too long a week's worth of unreleased cum spurted from Kurt's cock.

Slowly he pulled out, not really caring about the mixture of blood and semen leaking from Dave's ass. Grinning to himself he refastened his pants. He glanced at Dave, a feeling of superiority infusing him. He totally owned Dave now. 

Does anyone have any basis for this rumour? I would love to put it on the main page.  
Um... No. Just no. Did you pull that out of some dirty sex novel or what? Talk 

Reverted undo; suspected vandalism  
==""",0,0,1,0,0,0
13310,232f935d309d2d0a,"Information (cont.) 

Well?!? You do you want the info or not, you nasty little shit! 217.41.232.75  

 Could you stop the relentless persecution of me please? 

Bugs,

Can you have a quiet word with those two please and get them to stop claiming I'm light currant? 217.41.226.121",0,0,1,0,0,0
14260,25a45c0ecc160450,"Bullshit 

William Penn used the phrase too.  I think this is a very biased article.",0,0,1,0,0,0
14888,2757e7ed8db3e17e,"This isn't really the place to ask for this, but I'll try not to be a cunt like some of the other people who answer. 1, because it's...I dunno. Some random Wikipedia reason that cannot be explained in laymen's terms. 2, mainly because Yuke's are lazy nuggets who don't even bother to check the roster for any updates since last year. Oh, and because they've been paid. You know how it is.",0,0,1,0,0,0
15132,27f6d0317dc464dc,"Just one question
Are you actually employed by wikipedia, and therefore sanctioned to dicate what is right and wrong on this website, or just attempting to irritate as many people as possible with your one man self importance, ego inflating censorship parade? Get off your high horse and stop being such a massive cunt. With Regards, Derek James Acorah.",0,0,1,0,0,0
16766,2c38b14cbbd031a8,"""

Any chance I can get this shortened? I'll admit I acted like a dick, but I was just messing around. I don't even care that much about the issue at Chris Long, as I've been following it the past few days, and I probably wouldn't even jump back into the discussion there.►''''''Holla! """,0,0,1,0,0,0
17323,2db91d6130bcee5c,"Turns out this misinformation is due to  in terms of intelligence. It annoys me to no end when people on Wikipedia throw around claims on degrees or, even better, intelligence, and then do stupid shit like this.  Better to let your actions speak for your intelligence, or competence, I say.  (𒁳)",0,0,1,0,0,0
17787,2ef622fad03ccfd2,"Go ahead, call your friend rather than take 30 seconds to say WHAT you object to in the content. Classic abusive admin shithead behavior.",0,0,1,0,0,0
17919,2f51f61280a1930e,"""Excellent work there Shii. We can't have his kind getting us to think about what the Maya actually say about their own prophecies. We insulted him, offended him and abused him and he just had to be ethical and persistant. BLOCK those Mother Fukkers!!! Taking out the entire Santa Fe Public Library system is a great preemptive strike also. There may be others of his kind, that sympathize with those """"Indians"""". These people actually LOVE the Earth and that is without reliable sources! We kicked their asses and have the right to write THEIR history and interpret THEIR sacred teachings however we please. We need more from college students who have been indoctrinated in the Church of Academia. That piece by Stitler is one of the most exaggerated and opinionated and so yeah, use that as the title of the page! And by all means give John MAJOR Jenkins his own section. Not a single scholar or Mayanists agrees with his appropriated theory and this kind of hypocrisy and arrogance is what Wiki is all about. We can get away with it, by continuing to use our power to censor free thinkers like Mardyks and his kind. Sony Pictures is paying us all off with tickets, so let us know how many you want. FREE popcorn, too! Whoopee! Best wishes from Jimini Cricket 97.123.26.228  

""",0,0,1,0,0,0
18454,30b6fa9af54be278,"Question... 

Did POnOs ever get inserted into vagOO?",0,0,1,0,0,0
18828,31ad53bce2cb1e6d,"""

In computing, input/output, or I/O, refers to the communication between an information processing system (such as a computer), and the outside world. Inputs are the signals or data sent to the system, and outputs are the signals or data sent by the system to the outside of Nabil's Mum's Pussy. Then the dildo is placed inside it until Aleem's dad comes and ejaculates on her face while Aleem himself plucks Nabil's hair on his ass. If you would Like more information about this please call 07772550782. If he does not pick up that means he is busy with Aleem So please Leave A message.

Retrieved from """"http://en.wikipedia.org/wiki/User_talk:Dawnseeker2000""""ViewsUser page Discussion Edit this page New section History Personal toolsTry Beta Log in / create account Navigation
Main page 
Contents 
Featured content 
Current events 
Random article 
Search
     Interaction
About Wikipedia 
Community portal 
Recent changes 
Contact Wikipedia 
Donate to Wikipedia 
Help 
Toolbox
What links here 
Related changes 
User contributions 
Logs 
Upload file 
Special pages 
Printable version 
Permanent link 

This page was last modified on 19 December 2009 at 17:46. Text is available under the Creative Commons Attribution-ShareAlike License; additional terms may apply. See Terms of Use for details.
Wikipedia® is a registered trademark of the Wikimedia Foundation, Inc., a non-profit organization.Contact us Privacy policy About Wikipedia Disclaimers 

In computing, input/output, or I/O, refers to the communication between an information processing system (such as a computer), and the outside world. Inputs are the signals or data sent to the system, and outputs are the signals or data sent by the system to the outside of Nabil's Mum's Pussy. Then the dildo is placed inside it until Aleem's dad comes and ejaculates on her face while Aleem himself plucks Nabil's hair on his ass. If you would Like more information about this please call 07772550782. If he does not pick up that means he is busy with Aleem So please Leave A message.

In computing, input/output, or I/O, refers to the communication between an information processing system (such as a computer), and the outside world. Inputs are the signals or data sent to the system, and outputs are the signals or data sent by the system to the outside of Nabil's Mum's Pussy. Then the dildo is placed inside it until Aleem's dad comes and ejaculates on her face while Aleem himself plucks Nabil's hair on his ass. If you would Like more information about this please call 07772550782. If he does not pick up that means he is busy with Aleem So please Leave A message.

In computing, input/output, or I/O, refers to the communication between an information processing system (such as a computer), and the outside world. Inputs are the signals or data sent to the system, and outputs are the signals or data sent by the system to the outside of Nabil's Mum's Pussy. Then the dildo is placed inside it until Aleem's dad comes and ejaculates on her face while Aleem himself plucks Nabil's hair on his ass. If you would Like more information about this please call 07772550782. If he does not pick up that means he is busy with Aleem So please Leave A message.

In computing, input/output, or I/O, refers to the communication between an information processing system (such as a computer), and the outside world. Inputs are the signals or data sent to the system, and outputs are the signals or data sent by the system to the outside of Nabil's Mum's Pussy. Then the dildo is placed inside it until Aleem's dad comes and ejaculates on her face while Aleem himself plucks Nabil's hair on his ass. If you would Like more information about this please call 07772550782. If he does not pick up that means he is busy with Aleem So please Leave A message.

In computing, input/output, or I/O, refers to the communication between an information processing system (such as a computer), and the outside world. Inputs are the signals or data sent to the system, and outputs are the signals or data sent by the system to the outside of Nabil's Mum's Pussy. Then the dildo is placed inside it until Aleem's dad comes and ejaculates on her face while Aleem himself plucks Nabil's hair on his ass. If you would Like more information about this please call 07772550782. If he does not pick up that means he is busy with Aleem So please Leave A message.

In computing, input/output, or I/O, refers to the communication between an information processing system (such as a computer), and the outside world. Inputs are the signals or data sent to the system, and outputs are the signals or data sent by the system to the outside of Nabil's Mum's Pussy. Then the dildo is placed inside it until Aleem's dad comes and eja",0,0,1,0,0,0
19459,335d7f61fcc457a1,"""

 Comments 

""""... I stopped using my other one because of a lot of harassment and personal attacks."""": After I saw what you did, I think your second account will have the same destiny as your first one.

From this: I can't find significant coverage for this software.

What a most clueless, nut speech I've ever heard in my life. You can't find, doesn't mean It will be deleted. Sucks!   """,0,0,1,0,0,0
20476,360bd2d1494f5394,I like to tell that to students at the _beginning_ of the year. Then they can know quickly of the utter treacle that is my philosophic manifesto of righteousness. Later b|tch.,0,0,1,0,0,0
20639,36787588ecefbca7,Please keep in mind that the verifiability accuracy of the information is what is at issue here.  This is not a pissing match.,0,0,1,0,0,0
21000,37707ececa862361,DONT BREAK WP:3RR BIATCH,0,0,1,0,0,0
22090,3a3ecd9260d3f9f3,the mirror like your dad did thusly your trauma. P.S. CUNT.,0,0,1,0,0,0
22871,3c6fe4338978939c,"""     
“""""argument by argument"""" (tm)”?  If you have to invent a fallacy then even you have to know that you’re grasping for straws.

Collect, we do not have to say “the world is regarded as being round by some members of the scientific community” any more than we have to say “water has never definitively been proven to be wet”.  While I would personally prefer that we said something like “Ham’s claims have been disproven by modern science” (because I think it sounds more authoritative), if it’s between “incorrect” or nothing then “incorrect” is clearly the superior choice because it is factually true.

And please don’t try that “all the intelligent readers already know he’s wrong so there’s no need to point out that he’s wrong” argument.  Every fringe-pusher and their uncle has already tried that tactic and it’s bullshit.  We can’t just allow Wikipedia to be full of rubbish and assume that the smart readers will filter the fact from the fiction.  76.107.171.90  

""",0,0,1,0,0,0
23296,3d8988b4aa1513a4,"2006 (UTC)

Who the hell are you to tell me what I am?  Libertarians aren't blindly pro-choice, regardless of what your opinion on the matter is.  (Talk) 16:06, 1 December",0,0,1,0,0,0
23518,3e196bcb04720e73,"Well, obviously there is nothing wrong with those examples you gave. If they indeed violate WP:WAF like you claim, then that guideline is bullshit and should be ignored.",0,0,1,0,0,0
23522,3e1d8e74f6f0a2e4,"""

 Hahaha 

Check this out:

MickMacNee, an editor with a long history of block for disruptive behaviour [10], seems to have gone out of line in the last days. I don't mind him being defensive of an article he has written the major part about, and several users in the AfD discussion have been very much engaged in it, including myself. However, I object to the repated personal attacks and uncivil behaviour by the editor. His history is rather long, so I provide just a few selected diffs of uncivil comment and direct personal attacks during the last days 11, [12], [13], [14]. In the discussion on this page about a third user, he calls my arguments for not agreeing with him """"""""evasion, obfuscation, interuption and intentional deafness"""". That is rather typical of his attitude in the AfD discussion where he agressively drives that everybody disagreeing with him are wrong. I've tried to point it out to him, [15] but with hindsight (given our infected history) it might have been better not to as I should have predicted how he would respond.[16] However, I'm far from alone in having that opinion. In the last days, several other editors have also commented on his behaviour [17], [18], [19], [20].Jeppiz (talk) 

That block log looks like something out of a Wiki-horror story...why has he not been given long blocks in the past? I would go for a longer-term block. Ks0stm (T•C•G)  
A users block log is not (generally) an excuse to throw the book at him, this looks a bit silly if you ask me, a bit of a tit for tat heated discussion over a article for deletion discussion that is split down the middle, and nothing will come of it, I can't find a really uncivil comment, perhaps if you guys just edit different articles for a few days. Off2riorob (talk)  
It goes without saying that everybody has different opinions, but I do think that """"one of the nastiest and most repugnant editors"""", """"Either your comment was simply ignorant of the facts (like you characterisation of my POV), or you are simply trolling, either way, you are all out of credit here tbh"""", """"I've got no idea what crappy papers you read"""", """"It's up to you if you want to parrot everybody's delete opinion as if it makes you look like you know what you are on about, but it really doesn't."""" are not particularly civil. Neither is """"I have had it with your crap."""". In any case, I won't interact with the user again, I rather leave Wikipedia. As I pointed out, I'm far from alone in having made these observations.Jeppiz (talk)  
Off2riorob, I tried your suggestion, in fact I didn't think I'd need to try, I didn't think I'd cross paths with Mick after this bout of abuse. But sure enough I did, and when I reported him for violation of a 1R measure in place on the Northern Ireland article, half of his defence was an assumption of bad faith against me. I guess if someone keeps an eye on him, he can't get too far out of hand. Alastairward (talk)  
It is a bit of a rant, he is clearly very upset about the footie, and I am sorry you have been upset Jeppiz, he has gone now, probably off to bed, I'm sure one of the admins will have a strong word in his ear when he shows his face again. I myself have had a run in with him but he has grown on me, what can I say. Off2riorob (talk)  
Seeing the diffs Alastairward provided, I cannot agree, even though I see that you stood up for him that time as well. This is a user who seems unable to deal with conflicting views and routinely resorts to personal abuse.Jeppiz (talk)  
Nothing routine about it. Your behaviour and Alistair's are pretty similar, which is why they provoked similar responses eventually. If either of you wish me to lay out the full package of evidence for either of your extraordinarily sustained campaigns of tendentious behaviours, I am only too willing to oblige. MickMacNee (talk)  
First of all, Alistair and I are not the only editors you've attacked and insulted, there are at least Grsz [21] and Kevin McE [22] just in the last few days. 
While I have definitely argued with you, I have not called you one of """"the most repugnant editors"""" [23], called your contributions """"crap"""",[24] called you a """"lying hypocritical cunt"""" [25] or told you to """"fuck off"""" [26], [27]. 
Every time someone brings your behaviour to the attention of administrators, you come up with these vague and unsupported accusations that ones you've argued with have behaved in the same way. It is not a defense (then both should be blocked), and it's not true either, just a dishonest way for you to try to talk you out of it. I'm getting tired of having that same accusation thrown at me all the time and I take it as",0,0,1,0,0,0
23729,3eb08ad5bded663e,I think we're in agreement that the blowjobs sub-section should be reinstated. I'll put it back now.,0,0,1,0,0,0
23879,3f0ed06808f1bdd8,"Dude cut the crap,PLZ.I told u so many times,go do ur research!You are more than welcomed to change the sentence with strong sources or references.Thank and stop ur nonsense.",0,0,1,0,0,0
24684,4144ab3662323627,"Vandalism, douching, and faggotry are not tolerated on this website.",0,0,1,0,0,0
24694,4148b459cd65debb,"thanks a lot man, you dont know how long thats been fuckin with my head",0,0,1,0,0,0
24883,41ce9cd966d8197d,"Like I said: Vacuous drivel and patent nonsense!. There is a skill to talking out of your arse and you have certainly mastered it, IZAK",0,0,1,0,0,0
25030,42333ab636e5a385,Somebody too incompetent to be stationed anywhere else. Yes I do know quite a bit about the military and I would absolutely love to demonstrate that knowledge with you first-hand. I wasn't in some pussy CID unit friend.,0,0,1,0,0,0
26545,4655f6a37e2c860d,"""
If you find the word """"bullshit"""" more dangerous to the encyclopaedia than substandard content, then of course you should.  201.215.187.159  """,0,0,1,0,0,0
26991,477acb71dfef8fc3,"""

first of all everything in my article is related and is about managua wether you like it or not that is why the title of the article is """"Managua armed robberies"""" so wether you like it or not its goin in there okay. my ip address does not match your sock puppet crap so leave me out of your crap in other words. my article is relevant this is an encyclopedia i have a good source you dont own this website so quit trying to act like its yours im doing and going about this as i see the rules im not interested in your personal opinions. """,0,0,1,0,0,0
27472,48bd0dd82740261d,"Sock? 

Single purpose actcount created 10 miutes ago, knows how to use wikimark up already and how to look legit by writing some random crap on the user page. Almost certainly an abusive sock, trying to get around 3rr, or cause others to do so. Checkuser will be enlightening I am quite sure of that.   

Crated a user page and wrote someting on the talk page (to avaoid red links) within one minute, then made the edit they wanted to.  Almost certainly the scokputter of an established user.   

This was just deleted, this user knows exactly what he is doing after only 5 minutes. His edit was designed to tempt me into violating 3rr, and to make it imposible to keep the appropriate tags on the article. I think I know who this is. Either a sock or meatpuppet of established user who is very involved in editing this article.",0,0,1,0,0,0
27680,49486d90f04854d7,"I have no idea why you are posting the slang definitions of 'fuck'.  That is a total non-sequitur.  I have not seen anyone here assert that there aren't any ways of using 'fuck' that are slang.  The point was, and remains, that the standard use of the word 'fuck' as both a noun and a verb - the only ways that this word has been used in this entire discussion throughout this entire week up until your latest post - has been the standard definition that is widely understood and accepted as a normal word that is nowhere near slang.

You used this non-sequitur as your basis for reversion.  And to this day you are persisting in it.  Yet again another example of a huge logic disconnect that permeates this entire exchange.

As for the meta-discussion (the discussion about the discussion), Andy's revert was based upon his assessment that the issue needed to be discussed before such a change could be accepted.  And where did he choose to raise that discussion?  Over on my User Talk page.  That is the most inappropriate place to have such a discussion.  I suggested to him that the discussion be moved here.  Instead he moved it to an Admin page where he called for me to be blocked.  Is that the action of anyone who wants rational discussion?  (This too are questions that I do not need anyone's answer to.)

As for your opinion that this issue is now resolved, I never shared any such view.  I added the 'See also' link as a step in the right direction.  Not as a cure.  I can't have stated that more clearly that I STILL see the article as broken.  My decision to leave here, for the time being, is because I see a critical mass of editors who are bent on keeping it broken (my opinion / my view).  It's fine if we agree to disagree, but that doesn't mean that the problem has magically gone away.",0,0,1,0,0,0
27800,49983647c9841372,""" April 2008 (UTC)
OK, heres the thing, i dont really have a problem with u all that much, but when ppl give me shit that is no matter of theirs (how thing whole thing started, on the Metallica page) i do get really pissed off, and i know u can understand that, yes we do all have breaking points, mine happens to be a little weaker then urs, ill be the first to admit that. and the whole metal thing, i do know abot about metal, ALOT, but im happy that u were not making an attack on me in that area. but heres the thing, ill admit i went too far, by a mile but now im suggesting the end of this, u can insult me and ill insult back twice as bad untill be are both out of words and in the shit with the rest of wikipedia, but all in all that wont prove anything, after all we dont even know each other in real life and real life is where the real problems are. sorry for the bother but theres nothing wrong with abit of defence here and there, and i do talk shit about ppl who deserve it, and thats why iv been doing it to u, because i did think u deserved it, and no body has kicked my arse and its not gonna happen any time soon, im not stupid, i know where to stop and  think now is a good time for that. whatever u think about this whatever, but im stoping, nobody won, theres nothing to win. now im gonna get back to real life. cheers. 00:44, 15""",0,0,1,0,0,0
28261,4ad288a1fee23040,"""
Hilarious even without the en-dash thing: I keep reading Post-Hotree–Fuck.  (talk) """,0,0,1,0,0,0
